cycle,race,state,candidates,endorsements
2018,House,California,Jared Huffman (D),Organizations
2018,House,California,Jared Huffman (D),J Street PAC[13]
2018,House,California,John Garamendi (D),Organizations
2018,House,California,John Garamendi (D),J Street PAC[13]
2018,House,California,Jessica Morse (D) won primary,State officials
2018,House,California,Jessica Morse (D) won primary,"Gavin Newsom, Lt Governor of California and 2018 gubernatorial nominee[14]"
2018,House,California,Roza Calderon (D),Local-level officials
2018,House,California,Roza Calderon (D),"Gayle McLaughlin (Independent), former Mayor of Richmond[15]"
2018,House,California,Roza Calderon (D),Organizations
2018,House,California,Roza Calderon (D),Justice Democrats[16]
2018,House,California,Roza Calderon (D),Brand New Congress[17]
2018,House,California,Jason Kishineff (G),Local-level officials
2018,House,California,Jason Kishineff (G),"Gayle McLaughlin (Independent), former Mayor of Richmond[15]"
2018,House,California,Jason Kishineff (G),Organizations
2018,House,California,Jason Kishineff (G),Peace and Freedom Party[18]
2018,House,California,hideMike Thompson (D),Organizations
2018,House,California,hideMike Thompson (D),J Street PAC[13]
2018,House,California,"Robert Christian ""Chris"" Richardson (G)",Organizations
2018,House,California,"Robert Christian ""Chris"" Richardson (G)",Peace and Freedom Party[19]
2018,House,California,Jerry McNerney (D),Organizations
2018,House,California,Jerry McNerney (D),J Street PAC[13]
2018,House,California,Josh Harder (D),Former U.S. Executive Branch officials
2018,House,California,Josh Harder (D),"Barack Obama, 44th President of the United States[20]"
2018,House,California,Josh Harder (D),Organizations
2018,House,California,Josh Harder (D),Brady Campaign to Prevent Gun Violence[21]
2018,House,California,Josh Harder (D),California Labor Federation[21]
2018,House,California,Josh Harder (D),California Teachers Association[21]
2018,House,California,Josh Harder (D),Council for a Livable World[21]
2018,House,California,Josh Harder (D),End Citizens United[21]
2018,House,California,Josh Harder (D),J Street PAC[13]
2018,House,California,Josh Harder (D),League of Conservation Voters[22]
2018,House,California,Josh Harder (D),National Education Association[21]
2018,House,California,Josh Harder (D),Sierra Club[23]
2018,House,California,Mark DeSaulnier (D),Organizations
2018,House,California,Mark DeSaulnier (D),J Street PAC[13]
2018,House,California,Nancy Pelosi (D),Organizations
2018,House,California,Nancy Pelosi (D),End Citizens United[24]
2018,House,California,Nancy Pelosi (D),League of Conservation Voters[25]
2018,House,California,Nancy Pelosi (D),Sierra Club[23]
2018,House,California,Shahid Buttar (D),Local-level officials
2018,House,California,Shahid Buttar (D),"Matt Gonzalez, former President of the San Francisco Board of Supervisors[26]"
2018,House,California,Shahid Buttar (D),"John Avalos, former member of the San Francisco Board of Supervisors[27]"
2018,House,California,Shahid Buttar (D),"Jason West, former mayor of New Paltz, New York[28]"
2018,House,California,Shahid Buttar (D),Other individuals
2018,House,California,Shahid Buttar (D),"Norman Solomon, journalist and founder of the Institute for Public Accuracy[29]"
2018,House,California,Shahid Buttar (D),"Medea Benjamin, activist and co-founder of Code Pink[30]"
2018,House,California,Shahid Buttar (D),"Trevor Timm, Executive Director of the Freedom of the Press Foundation[31]"
2018,House,California,Shahid Buttar (D),"Cindy Cohn, Executive Director of the Electronic Frontier Foundation[32]"
2018,House,California,Shahid Buttar (D),"Sascha Meinrath, founder of X-Lab[33]"
2018,House,California,Shahid Buttar (D),"Cory Doctorow, co-editor of Boing Boing[34]"
2018,House,California,Shahid Buttar (D),"Preston Picus, former candidate for California's 12th congressional district[35]"
2018,House,California,Shahid Buttar (D),"Gayle McLaughlin, candidate for Lieutenant Governor of California[36]"
2018,House,California,Shahid Buttar (D),"Linda Sarsour, co-chair of the 2017 Women's March[citation needed]"
2018,House,California,Shahid Buttar (D),Organisations
2018,House,California,Shahid Buttar (D),Veterans for Bernie Sanders[37]
2018,House,California,Shahid Buttar (D),San Francisco Bay Guardian[37]
2018,House,California,Shahid Buttar (D),Progressive Democrats of America[37]
2018,House,California,Stephen Jaffe (D),Local-level officials
2018,House,California,Stephen Jaffe (D),"Gayle McLaughlin (Independent), former Mayor of Richmond[38]"
2018,House,California,Stephen Jaffe (D),Other individuals
2018,House,California,Stephen Jaffe (D),"Tim Canova, law professor and candidate for Florida's 23rd congressional district in 2016 and 2018[39]"
2018,House,California,Stephen Jaffe (D),"Preston Picus (Independent), candidate for California's 12th congressional district in 2016[39]"
2018,House,California,Stephen Jaffe (D),"Holly Wood, writer and candidate for Pennsylvania's 10th congressional district in 2018[39]"
2018,House,California,Stephen Jaffe (D),"Jimmy Dore, comedian and political commentator[40]"
2018,House,California,Stephen Jaffe (D),Organizations
2018,House,California,Stephen Jaffe (D),Demand Universal Healthcare[41]
2018,House,California,Stephen Jaffe (D),SF Berniecrats[39]
2018,House,California,Stephen Jaffe (D),Veterans for Bernie[39]
2018,House,California,Barry Hermanson (G),Local-level officials
2018,House,California,Barry Hermanson (G),"Matt Gonzalez, former President of the San Francisco Board of Supervisors[26]"
2018,House,California,Barbara Lee (D),Organizations
2018,House,California,Barbara Lee (D),J Street PAC[13]
2018,House,California,Jackie Speier (D),Organizations
2018,House,California,Jackie Speier (D),J Street PAC[13]
2018,House,California,Eric Swalwell (D),Organizations
2018,House,California,Eric Swalwell (D),J Street PAC[13]
2018,House,California,Ro Khanna (D),Organizations
2018,House,California,Ro Khanna (D),J Street PAC[13]
2018,House,California,Anna Eshoo (D),Organizations
2018,House,California,Anna Eshoo (D),J Street PAC[13]
2018,House,California,Zoe Lofgren (D),Organizations
2018,House,California,Zoe Lofgren (D),J Street PAC[13]
2018,House,California,TJ Cox (D),Federal Officials
2018,House,California,TJ Cox (D),"Barack Obama, 44th President of the United States[20]"
2018,House,California,TJ Cox (D),U.S. Senators
2018,House,California,TJ Cox (D),"Kamala Harris, U.S. Senator from California[44]"
2018,House,California,TJ Cox (D),"Dianne Feinstein, U.S. Senator from California[44]"
2018,House,California,TJ Cox (D),U.S. Representatives
2018,House,California,TJ Cox (D),Ted Lieu (D-CA-33)[45]
2018,House,California,TJ Cox (D),State Officials
2018,House,California,TJ Cox (D),"Gavin Newsom CA Lt. Governor, former San Francisco Mayor, candidate for CA Governor[46]"
2018,House,California,TJ Cox (D),Humberto Gomez Jr.[44]
2018,House,California,TJ Cox (D),Manuel Garcia[44]
2018,House,California,TJ Cox (D),Bernice Bonillas[44]
2018,House,California,TJ Cox (D),Fran Florez[44]
2018,House,California,TJ Cox (D),Sid Palmerin[44]
2018,House,California,TJ Cox (D),Dave Jones[44]
2018,House,California,TJ Cox (D),Oscar Sablan[44]
2018,House,California,TJ Cox (D),Humberto Garza[44]
2018,House,California,TJ Cox (D),Jim Avalos[44]
2018,House,California,TJ Cox (D),Patricia Sorenson[44]
2018,House,California,TJ Cox (D),Abigail Solis[44]
2018,House,California,TJ Cox (D),Alex Padilla[44]
2018,House,California,TJ Cox (D),Jose Gurrola[44]
2018,House,California,TJ Cox (D),Gilbert Reyna[44]
2018,House,California,TJ Cox (D),Cathee Romley[44]
2018,House,California,TJ Cox (D),Mary Gonzales-Gomez[44]
2018,House,California,TJ Cox (D),Cathy Jorgensen[44]
2018,House,California,TJ Cox (D),Alfred Valdez[44]
2018,House,California,TJ Cox (D),Rey Leon[44]
2018,House,California,TJ Cox (D),Melissa Hurtado[44]
2018,House,California,TJ Cox (D),Scott Robertson[44]
2018,House,California,TJ Cox (D),Vicki Filgas Tevino[44]
2018,House,California,TJ Cox (D),Rudy Salas[44]
2018,House,California,TJ Cox (D),Art Armendariz[44]
2018,House,California,TJ Cox (D),Alex Garcia[44]
2018,House,California,TJ Cox (D),Chio Gonzalez[44]
2018,House,California,TJ Cox (D),Ray Lerma[44]
2018,House,California,TJ Cox (D),Claire Fitiausi[44]
2018,House,California,TJ Cox (D),Marcia Sablan[44]
2018,House,California,TJ Cox (D),Rolando Castro[44]
2018,House,California,TJ Cox (D),Daniel Martinez[44]
2018,House,California,TJ Cox (D),Humberto Gomez Sr.[44]
2018,House,California,TJ Cox (D),Esmeralda Soria[44]
