endorsement_name,results_name
Alyse Galvin,Alyse S. Galvin
hideMike Thompson,Mike Thompson
Linda S<U+FFFD>nchez,Linda Sanchez
"Jesús \""Chuy\"" García","Jesus ""Chuy"" Garcia"
J. D.Scholten,J.D. Scholten
Nydia Velázquez,Nydia Velazquez
Yvette Clark,Yvette Clarke
Jerry Nadler,Jerrold Nadler
José Serrano,Jose Serrano
Brynne Kennedy,Brynne S. Kennedy
Tony Cárdenas,Tony Cardenas
Diana Degette,Diana DeGette
Ray Lenzi,Raymond Lenzi
E. Thomasina Marsili,Thomasina Marsili
Anthony Brown,Anthony G. Brown
Frank Pallone,Frank Pallone Jr.
Bill Pascrell,Bill Pascrell Jr.
Tom Suozzi,Thomas Suozzi
David Brown,David Wilson Brown
Angus King,Angus S. King Jr.
Ricky Dale Harrington Jr.,Ricky Dale Harrington
Ben Ray Luján,Ben Ray Lujan
J. B. Pritzker,J.B. Pritzker
John McCann,John J. McCann
Peter King,Peter T. King
Joe Collins III,Joe E. Collins III
Juan Hidalgo Jr.,Juan M. Hidalgo Jr.
Carlos A. Giménez,Carlos A. Gimenez
Thomas Kean Jr.,Thomas H. Kean Jr.
Maureen McArdle-Schulman,Maureen McArdle Schulman
Glenn Thompson,G.T. Thompson
Kevin O’Connor,Kevin O'Connor
John H. Cox,John Cox
