cycle,race,state,candidates,endorsements
2018,House,Alaska,Dimitri Shein (D),"Individuals
Cenk Uygur, co-founder and co-host of The Young Turks[8]
Organizations
Our Revolution
Media
The Young Turks"
2018,House,Alaska,Alyse Galvin (I),"Local and statewide politicians
Eric Croft, Member of the Anchorage Assembly[16]
Labor unions
National Education Association-Alaska[17]
Organizations
The Alaska Center[18]
End Citizens United[19]"
2018,House,Arizona,Steve Smith,"Individuals
Ted Cruz, U.S. Senator from Texas[12]
Andy Biggs, Congressmen[10]
Jeff DeWit, Arizona State Treasurer and Trump Campaign COO[13]
Jim Jordan, Congressmen (House Freedom Caucus Chairman)[14]
Debbie Lesko, Congresswoman[15]
Mark Meadows, Congressmen (co-founder of the House Freedom Caucus)[14]
Trent Franks, Former Congressman[10]
Barry Goldwater Jr., former Congressman[16]
Sylvia Allen, state senator[17]
Gail Griffin, Senate Majority Whip[18]
Steve Yarbrough, Senate President[18]
Kimberly Yee, Senate Majority Leader[18]
John Allen, House Majority Leader[18]
Mark Finchem, state representative[17]
Drew John, state representative[17]
Vince Leach, state representative[17]
J. D. Mesnard, House Speaker[18]
Becky Nutt, state representative[17]
Bob Thorpe, state representative[17]
Kelly Townsend, House Majority Whip[18]
Adam Kwasman, former state representative[19]
Josh Bernstein, conservative talk show host[20]
David Bossie, deputy campaign manager for Donald Trump's 2016 presidential campaign[21]
Groups
National Republican Congressional Committee
Family Research Council Action PAC[22]
Tea Party Express[23]
National Border Patrol Council[24]
Gun Owners of America[25]"
2018,House,Arizona,Steve Ferrara,"Groups
National Republican Congressional Committee[81]"
2018,House,Colorado,Saira Rao,"National:

Andrew Yang, founder of Venture for America and 2020 US Presidential candidate.
Gary Shteyngart, author
Justice Democrats
Demand Universal Healthcare

State and Local:

Colorado Black Woman for Political Action
Joe Salazar, state representative and candidate for attorney general[3]
Rudy Gonzales, executive director of Servicios de la Raza
Buie Seawell, former Colorado Democratic Party Chair
Denis Berckefeldt, former secretary of the Colorado Democratic Party and congressional candidate
Dusti Gurule, executive director of Colorado Organization for Latina Opportunity and Reproductive Rights
Kelly Perez, founder and CEO of KindColorado
Neeti Pawar, founder of the South Asian Bar Association of Colorado
Chaz Tedesco, Adams county commissioner
Debbie Ortega, Denver city councilwoman
Rafel Espinoza, Denver city councilman
Dr. Timothy Tyler, reverend of Shorter Community AME Church
Susan-Barnes Gelt, former Denver city councilwoman
Tay Anderson, former candidate for Denver Public School Board of Education
Grand Metro Denver Ministerial Alliance"
2018,House,Colorado,Joe Neguse[13],"Organizations

Giffords: Courage to Fight Gun Violence
NARAL
Colorado AFL-CIO
Pipefitters #208
Pipefitters #301
Colorado Professional Fire Fighters
Democracy for America
End Citizens United
Humane Society Legislative Fund
Council for a Livable World
League of Conservation Voters
Southwest Regional Council of Carpenters
Blue Rising PAC
Congressional Progressive Caucus
Planned Parenthood Action Fund
American Federation of Teachers[14]
Colorado Education Association

Federal officials

Joe Biden, former U.S. Vice President
Kamala Harris, U.S. Senator from California
Betsy Markey, former U.S. Representative from Colorado
Barbara Lee, U.S. Representative from California
Cedric Richmond, U.S. Representative from Louisiana
Marcia Fudge, U.S. Representative from Ohio
Jim Clyburn, U.S. Representative from South Carolina
Gregory Meeks, U.S. Representative from New York
Ken Salazar, former U.S. Senator, Colorado Attorney General and U.S. Secretary of the Interior
Gabby Giffords, former U.S. Representative from Arizona
Terri Sewell, former U.S. Representative from Alabama
Ray Mabus, former U.S. Secretary of the Navy

State Senators

Joan Fitz-Gerald, former Senate President
Dorothy Rupert, former
Steve Fenberg, also co-founder of New Era Colorado with Neguse
Rollie Heath, former
Matt Jones, also candidate for Boulder County commissioner, D3
Lucia Guzman, minority leader
Rhonda Fields
Angela Williams
Nancy Todd
Leroy Garcia
Dominick Moreno
Jeff Bridges
Dan Pabon
Andy Kerr
John Kefalas
Polly Baca, former
Jeanne Nicholson, former
Bob Bacon, former

State Representatives

Wilma Webb, former state representative
Dickey Lee Hullinghorst, former speaker
KC Becker, house majority leader
Jonathan Singer
Edie Hooton
Mike Foote, candidate for District Attorney
Faith Winter
Leslie Herod
James Coleman
Jovan Melton
Janet Buckner
Daneya Esgar
Alec Garnett
Chris Hansen
Tracy Kraft-Tharp
Chris Kennedy
Brittany Pettersen
Matt Gray
Diane Mitsch Bush, also candidate for US Congress, D3
Millie Hamner
Jeni Arndt
Joann Ginal
Mark Ferrandino, former speaker
Claire Levy, former
Alice Madden, former majority leader and candidate for CU Regent
Ruth Wright, former
Tom Plant, former
Todd Saliman, former
Joe Rice, former
Angie Paccione, former

Mayors

Wellington Webb, former Mayor of Denver
Suzanne Jones, Mayor of Boulder
Connie Sullivan, Mayor of Lyons
Bob Muckle, Mayor of Louisville
Kris Larsen, Mayor of Nederland
Will Toor, former Mayor of Boulder
Susan Osbourne, former Mayor of Boulder
Christine Berg, Mayor of Lafayette
Leslie Durgen, former Mayor of Boulder
Kevin Burns, Mayor of Dillon
Susan Kirkpatrick, former Mayor of Fort Collins
Jacki Marsh, Mayor of Loveland

City councilors (Boulder)

Sam Weaver
Jill Grano
Bob Yates
Macon Cowles, former
Sally Martin, former
Ken Wilson, former
Robin Bohanan, former
Francois Poinsatte, former
Andy Schultehsis, former
Jan Burton, former
Andrew Schoemaker, former
Angelique Espinoza, former

City councilors (other)

Jamie Harkins, Lafayette
Bette Erickson, Broomfield
Sharron Tessier, Broomfield
Guyleen Castriota, Broomfield
Deven Shaff, Broomfield
Stan Jezierski, Broomfield
Bob Overbeck, Fort Collins
Richard Ball, Loveland
Leah Johnson, Loveland
Kristi Stephens, Fort Collins, former

County officials (Boulder)

Josie Heath, former commissioner
Bean Pearlman, former commissioner
Elise Jones, commissioner
Deb Gardner, commissioner
Cindy Domenico, commissioner
Stan Garnett, former District Attorney
Bob Hullinghorst, former treasurer
Former Boulder County Democratic Party chair Dan Gould
Former Boulder County Democratic Party chair Joel Davidow
Former Boulder County Democratic Party vice chair Laura Spicer
Paul Weissman, treasurer
Joe Pelle, sheriff
Emma Hall, coroner

County officials (others)

Kathy Plomer, Adams 12 school board member
Tom Mehling, Former Broomfield County Democratic Party chair
Judy Enderle, Former Broomfield County Democratic Party chair
Randy Wheelock, former Clear Creek county commissioner
Former Summit County Democratic Party chair Sandy Briggs
Bruce Brown, District Attorney, D5
Jill Ryan, Eagle County commissioner
Tim Mauch, Clear Creek County commissioner
Beverly Breakstone, Summit County assessor
Thomas Davidson, Summit County commissioner
Karn Stiegelmeiser, Summit County commissioner
Dan Gibbs, Summit County commissioner

School board members

Linda Shoemaker, CU Regent, second district
Kathy Gebhart, BVSD board member
Kitty Sargent, BVSD board member
Cathy Kipp, Poudre school district board of education member
Dave Levy, Thompson school district board of education member
Pam Howard, vice president of Thompson school district board of education
Nancy Tellez, Poudre school board member

Others

Former CO Secretary of State Bernie Buescher
Val Flores, state board of education member
Aaron Brocket, Boulder mayor pro tem
Rich Pelletier, former deputy campaign manager for Bernie Sanders
Dr. Noah Finkelsteni, Director of Colorado Center for STEM Learning
Neal Lurie, President of Center for Resource Conservation
Sean Maher, former executive director of Boulder Small Business Development Center
Suzy Ageton, former Boulder deputy mayor
Nikhi Mankekar, deputy chairperson of Boulder Human Relations Commission
Mark Lacis, Superior Town Trustee
JoyAnn Ruscha (former Colorado political director for Bernie Sanders for president)"
2018,House,Colorado,Chase Kohne,"The Greeley Tribune[27]
Blue Rising PAC[28]"
2018,House,Colorado,Mike Coffman (R),"Organizations
Citizens for Responsible Energy Solutions[40]
Newspapers
The Denver Post[41]"
2018,House,Connecticut,Dan Reale (L),"Individuals
Michael P. Meadows, former Republican candidate for Connecticut House of Representatives district 47, Republican State Central Committee Representative district 19, Sprague Republican Town Committee Chairman, Sprague Board of Finance Member[7]"
2018,House,Delaware,Lisa Blunt Rochester,"Organizations
Congressional Black Caucus PAC
Democratic Party
Delaware Women Legislators
Human Rights Campaign[2]
Planned Parenthood
Stonewall Democrats"
