candidate,party,receipts,disbursements,ind_contributors
 ANGELA GLASS,IND,0,0,0
" WEINSTOCK, MICHAEL S",DEM,88588,89287.46,85588
"(TERRI) EVERETT, THERESA",DEM,0,0,0
"AADLER, TIM",REP,108163.17,108163.17,2080
"AALDERS, TIMOTHY NOEL",CON,0,3.79,0
"AALOORI, BANGAR REDDY",REP,153726.4,150769.09,128726.4
"AARONS, ADAM",DEM,0,0,0
"ABBOUD, DEEDRA",DEM,150,10026.92,0
"ABED, SAM",REP,35248,24847.77,33250
"ABERNATHY, KENT",REP,125322.74,125322.74,104497.74
"ABRAHAM, RALPH LEE DR. JR.",REP,36715.03,140521.73,4545
"ABRAMS, DR MARCIA KAREN",REP,0,0,0
"ABRAMS, MARCIA KAREN DR PHD",REP,0,0,0
"ABUABARA, ROSALINDA RAMOS",DEM,26944.3,40392.47,5426.3
"ABUNDIS, VICTOR",DEM,21748.67,15614.5,16900
"ACEVEDO-VILA, ANIBAL",DEM,804500.84,775920.29,752020.61
"ACHILLE, CARL H.",DEM,0.23,236.69,0
"ACKER, RYAN",NON,1740,1730.44,1246
"ACKERMAN, PATRICIA GERALDENE MS.",DEM,460835.25,460921.44,407002.47
"ACOSTA, CHRISTIAN F.",REP,96269.43,96269.43,93226.65
"ADAIR, STANLEY E",REP,287948.47,287137.32,149027.39
"ADAMS, ALMA SHEALEY",DEM,841868.49,669626.72,236856.34
"ADAMS, DENISE DARCEL",DEM,5449.92,28064.4,240
"ADAMS, DESMUND DOUGLAS",DEM,0,0,0
"ADAMS, KIRK DAVID",REP,0,560.22,0
"ADDIVINOLA, FRANK J JR",REP,0,0,0
"ADDIVINOLA, FRANK JOHN JR",REP,0,0,0
"ADERHOLT, ROBERT B. REP.",REP,1283402.11,1352138.08,541121.78
"ADIA, VANESSA MICHELLE",DEM,0,9987.65,0
"ADKINS, AMANDA",REP,2226109.6,2183399.98,1877888.29
"ADKINS, GARY GENE",REP,14045,13939.41,3980
"ADKINS, JAY",REP,13682.45,12574.1,13427
"ADLER, GARY",REP,146944.18,146944.18,44944.18
"ADNAN, AHMAD",REP,10679,6824.06,685
"AFENDOULIS, LYNN",REP,1032752.48,1032735.09,688843.73
"AGRA, JOHN",REP,0,0,0
"AGUERO, PEDRO ANTONIO JR JR.",REP,3301.87,5981.9,1835.6
"AGUILAR, ERICK JAVIER DR.",REP,15696.99,14594.6,4696.99
"AGUILAR, PETE",DEM,2529487.62,1915174.22,1366060.59
"AGUILERA, JUSTIN",REP,9112,11542.18,4112
"AHLERS, DAN",DEM,273832.8,253114.09,245553.67
"AHMED, KAISAR",DEM,0,0,0
"AHN, ROBERT LEE",DEM,0,14.99,0
"AKANA, JOSEPH S",REP,54533.78,55343.86,41024.04
"AKINDUDE, KEMI",W,21261.45,14696.53,21261.45
"AL-AQIDI, DALIA",REP,184492.63,184242.19,184476.69
"ALAMEEL, DAVID M",DEM,12.55,151,0
"ALBERTSON, ED",DEM,0,0,0
"ALBORS, JUAN CARLOS",UN,80746.92,80746.92,3650
"ALBRO, CATHERINE",DEM,3932.1,15670.86,1018.28
"ALEXANDER, LAMAR",REP,5094.97,267275.75,5000
"ALLEN, BRIAN",REP,375.52,184.32,375.52
"ALLEN, GARY",REP,13422.05,10275.82,3145
"ALLEN, JASON EDWARD",REP,0,0,0
"ALLEN, JAY THOMAS",REP,79584.69,69853.31,68837.39
"ALLEN, KATHRY",DEM,0,0,0
"ALLEN, MICHAEL",DEM,11450.59,11362.79,10400.59
"ALLEN, RICHARD W",REP,1232199.41,666047.82,880755.18
"ALLISON, ROGER",REP,0,0,0
"ALLRED, COLIN",DEM,5777600.05,5721622.7,4556545.84
