index,metric,weight,rmse,next_lower,next_upper,pct_diff,search_suggestion
0,baseline,0,0.02255113190963678,0,0,0,baseline
1,date_weight,0.5,0.018162892199302772,0.25,0.75,1.3152557760560801,not final
2,sample_size,1,0.018162892199302772,0.5,1.5,1.3152557760560801,not final
3,YouGov,1,0.018162892199302772,0.5,1.5,0.0937492050414694,not final
4,Ipsos,1,0.018162892199302772,0.5,1.5,0.1545807696035418,not final
5,Morning Consult,0.25,0.017682545495313867,0,0.5,0.1512829377205959,not final
6,Rasmussen Reports/Pulse Opinion Research,0.25,0.015805841036127682,0,0.25,0.11208091243357972,not final
7,HarrisX,0.25,0.014581545342225746,0,0.25,0.1083988429906315,not final
8,Gallup,1,0.014928908069464258,0.5,1.5,0.07377606881753705,not final
9,SurveyMonkey,0.25,0.011346873611831749,0,0.25,0.27264912618621145,not final
10,Other Pollster,1,0.011845778546747761,0.5,1.5,0.10671399220427706,not final
11,YouGov Offset,0,0.011845778546747761,-0.19999999999999998,0,0,final
12,Ipsos Offset,0,0.011845778546747761,-0.19999999999999998,0,0,final
13,Morning Consult Offset,0,0.011845778546747761,-0.19999999999999998,0,0,final
14,Rasmussen Reports/Pulse Opinion Research Offset,0,0.011845778546747761,-0.19999999999999998,0,0,final
15,HarrisX Offset,0,0.011845778546747761,-0.19999999999999998,0,0,final
16,Gallup Offset,0,0.011845778546747761,-0.19999999999999998,0,0,final
17,SurveyMonkey Offset,0,0.011845778546747761,-0.19999999999999998,0,0,final
18,Other Pollster Offset,0,0.011845778546747761,-0.19999999999999998,0,0,final
19,rv,0,0.009211262947159073,0,0.25,0.2502265667616245,not final
20,lv,0.5,0.008941699534375996,0.25,0.75,0.08315206535413129,not final
21,a,1,0.008941699534375996,0.5,1.5,1.319297728037881,not final
22,v,0,0.008941427365229952,0,0.25,3.0438652878929002e-5,final
23,Online,0.25,0.0070912856808776825,0,0.5,0.5279167690706698,not final
24,Live Phone,1,0.0070912856808776825,0.5,1.5,0.3233762135062001,not final
25,IVR/Online,1,0.0070912856808776825,0.5,1.5,0.31060579713521247,not final
26,Unknown,1,0.0070912856808776825,0.5,1.5,0.016886454122563916,not final
27,Other Method,0.25,0.0070534869598836555,0,0.5,0.0053445498141273026,final
28,date_weight,0.5,0.0070534869598836555,0.375,0.625,0.1741676768000714,not final
29,sample_size,0.5,0.007053059779259579,0,1,8.080644981415534e-5,final
30,YouGov,1.5,0.0069355728941919315,1,2,0.05033645605632292,not final
31,Ipsos,1.25,0.006931764642811708,1,1.5,0.026240486215486497,not final
32,Morning Consult,0.125,0.00642895916977781,0,0.25,0.20577905359227286,not final
33,Rasmussen Reports/Pulse Opinion Research,0.25,0.00642895916977781,0.125,0.375,0.31668590253054263,not final
34,HarrisX,0.25,0.00642895916977781,0.125,0.375,0.0016655577462404735,final
35,Gallup,1,0.00642895916977781,0.75,1.25,0.016629164888676662,not final
36,SurveyMonkey,0.1875,0.006403025459237411,0.125,0.25,0.10404144612964464,not final
37,Other Pollster,0.75,0.0063325742075212394,0.5,1,0.049912492700901014,not final
38,rv,0.125,0.006098054793786333,0.0625,0.1875,0.03773250954722202,not final
39,lv,0.5,0.006098054793786333,0.375,0.625,0.0673971837044354,not final
40,a,1,0.006098054793786333,0.75,1.25,0.20027853688418554,not final
41,Online,0.25,0.006098054793786333,0.125,0.375,0.8206765821509922,not final
42,Live Phone,1.25,0.006093441122561664,1,1.5,0.07220150158731403,not final
43,IVR/Online,1.25,0.005996831558796412,1,1.5,0.1314707341662874,not final
44,Unknown,1.5,0.005976825365129927,1,2,0.011583210104455842,not final
