variable,weight,next_lower,next_upper,search_suggestion
YouGov Offset,0,-0.19999999999999998,0,final
Ipsos Offset,0,-0.19999999999999998,0,final
Morning Consult Offset,0,-0.19999999999999998,0,final
Rasmussen Reports/Pulse Opinion Research Offset,0,-0.19999999999999998,0,final
HarrisX Offset,0,-0.19999999999999998,0,final
Gallup Offset,0,-0.19999999999999998,0,final
SurveyMonkey Offset,0,-0.19999999999999998,0,final
Other Pollster Offset,0,-0.19999999999999998,0,final
v,0,0,0.25,final
Other Method,0.25,0,0.5,final
date_weight,0.5,0.375,0.625,not final
sample_size,0.5,0,1,final
YouGov,1.5,1,2,not final
Ipsos,1.25,1,1.5,not final
Morning Consult,0.125,0,0.25,not final
Rasmussen Reports/Pulse Opinion Research,0.25,0.125,0.375,not final
HarrisX,0.25,0.125,0.375,final
Gallup,1,0.75,1.25,not final
SurveyMonkey,0.1875,0.125,0.25,not final
Other Pollster,0.75,0.5,1,not final
rv,0.125,0.0625,0.1875,not final
lv,0.5,0.375,0.625,not final
a,1,0.75,1.25,not final
Online,0.25,0.125,0.375,not final
Live Phone,1.25,1,1.5,not final
IVR/Online,1.25,1,1.5,not final
Unknown,1.5,1,2,not final
