index,metric,weight,rmse,next_lower,next_upper,pct_diff,search_suggestion
0,baseline,0,0.005997144262227,0,0,0,baseline
1,date_weight,0.75,0.005913669436985689,0.5,1,1.507212449946941,not final
2,sample_size,0.25,0.005912747813547378,0,0.5,1.5072797889395035,not final
3,Ipsos,0.5,0.005704880744556387,0.25,0.75,0.38956114019443416,not final
4,HarrisX,1,0.005704880744556387,0.5,1.5,0.10588369549288662,not final
5,Morning Consult,0,0.005004444846816858,0,0.25,0.13080859140257264,not final
6,YouGov,1,0.005004444846816858,0.5,1.5,0.06109851131381946,not final
7,USC Dornsife,1,0.005004444846816858,0.5,1.5,0.053891849157267725,not final
8,The Winston Group,1,0.005004444846816858,0.5,1.5,0.05484557921643911,not final
9,McLaughlin & Associates,1,0.005004444846816858,0.5,1.5,0.09246017028455153,not final
10,Firehouse Strategies/Øptimus,0,0.0048213425678994655,0,0.25,0.03726974158695027,not final
11,Rasmussen Reports/Pulse Opinion Research,0.25,0.004766851486255686,0,0.5,0.011366286776426966,not final
12,Quinnipiac University,0.75,0.004760700335355416,0.5,1,0.00813362286195239,final
13,CNN/SSRS,0,0.004742877302653367,0,0.25,0.003750804882314406,final
14,NBC News/The Wall Street Journal,1,0.004742877302653367,0.5,1.5,0.008277518630340985,final
15,Marist College,1,0.004742877302653367,0.5,1.5,0.013671376811404302,not final
16,Public Policy Polling,0.25,0.0047407029824420395,0,0.5,4.585441670684011e-4,final
17,GQR Research,1,0.0047407029824420395,0.5,1.5,0.006462717628543097,final
18,ABC News/The Washington Post,1,0.0047407029824420395,0.5,1.5,0.001076062037138415,final
19,Øptimus,0.5,0.004732233822594181,0.25,0.75,0.001788074811890649,final
20,Monmouth University,0.75,0.0047321737659892235,0.5,1,5.112967399681811e-5,final
21,Fox News,1,0.0047321737659892235,0.5,1.5,0.0017178021786526593,final
22,Pew Research Center,0,0.004706759296941632,0,0.25,0.005385030040609238,final
23,Public Religion Research Institute,1,0.004706759296941632,0.5,1.5,0.012180003617992218,not final
24,Harris Poll,0,0.004695522332998274,0,0.25,0.0023902632117669335,final
25,Emerson College,1,0.004695522332998274,0.5,1.5,0.0024270663379394476,final
26,Suffolk University,1,0.004695522332998274,0.5,1.5,0.005008978832120457,final
27,SurveyMonkey,0.25,0.004595997231862786,0,0.5,0.02142278245032698,not final
28,USC Dornsife/Los Angeles Times,0,0.004587678408342235,0,0.25,0.0018116544717961605,final
29,IBD/TIPP,1,0.004587678408342235,0.5,1.5,1.148951147625851e-4,final
30,Opinium,0,0.004585132023972119,0,0.25,5.552026587500513e-4,final
31,Other Pollster,0.75,0.004580768889515736,0.5,1,0.030372078784833906,not final
32,Ipsos Offset,0,0.004580768889515736,-0.05,0.05000000000000002,1.6810644966953263,not final
33,HarrisX Offset,0,0.004580768889515736,-0.05,0.05000000000000002,1.6630548431710532,not final
34,Morning Consult Offset,-0.1,0.004580768889515736,-0.19999999999999998,0,0,final
35,YouGov Offset,0,0.004580768889515736,-0.05,0.05000000000000002,1.357070122966114,not final
36,USC Dornsife Offset,0,0.004580768889515736,-0.05,0.05000000000000002,1.3516082421814415,not final
37,The Winston Group Offset,0,0.004580768889515736,-0.05,0.05000000000000002,0.4363637510184076,not final
