region,recode
"Congressional District (at Large), Alaska",Alaska District 1
"Congressional District (at Large), Delaware",Delaware District 1
"Congressional District (at Large), Montana",Montana District 1
"Congressional District (at Large), North Dakota",North Dakota District 1
"Congressional District (at Large), South Dakota",South Dakota District 1
"Congressional District (at Large), Vermont",Vermont District 1
"Congressional District (at Large), Wyoming",Wyoming District 1
"Congressional District 1, Alabama",Alabama District 1
"Congressional District 1, Arizona",Arizona District 1
"Congressional District 1, Arkansas",Arkansas District 1
"Congressional District 1, California",California District 1
"Congressional District 1, Colorado",Colorado District 1
"Congressional District 1, Connecticut",Connecticut District 1
"Congressional District 1, Florida",Florida District 1
"Congressional District 1, Georgia",Georgia District 1
"Congressional District 1, Hawaii",Hawaii District 1
"Congressional District 1, Idaho",Idaho District 1
"Congressional District 1, Illinois",Illinois District 1
"Congressional District 1, Indiana",Indiana District 1
"Congressional District 1, Iowa",Iowa District 1
"Congressional District 1, Kansas",Kansas District 1
"Congressional District 1, Kentucky",Kentucky District 1
"Congressional District 1, Louisiana",Louisiana District 1
"Congressional District 1, Maine",Maine District 1
"Congressional District 1, Maryland",Maryland District 1
"Congressional District 1, Massachusetts",Massachusetts District 1
"Congressional District 1, Michigan",Michigan District 1
"Congressional District 1, Minnesota",Minnesota District 1
"Congressional District 1, Mississippi",Mississippi District 1
"Congressional District 1, Missouri",Missouri District 1
"Congressional District 1, Nebraska",Nebraska District 1
"Congressional District 1, Nevada",Nevada District 1
"Congressional District 1, New Hampshire",New Hampshire District 1
"Congressional District 1, New Jersey",New Jersey District 1
"Congressional District 1, New Mexico",New Mexico District 1
"Congressional District 1, New York",New York District 1
"Congressional District 1, North Carolina",North Carolina District 1
"Congressional District 1, Ohio",Ohio District 1
"Congressional District 1, Oklahoma",Oklahoma District 1
"Congressional District 1, Oregon",Oregon District 1
"Congressional District 1, Pennsylvania",Pennsylvania District 1
"Congressional District 1, Rhode Island",Rhode Island District 1
"Congressional District 1, South Carolina",South Carolina District 1
"Congressional District 1, Tennessee",Tennessee District 1
"Congressional District 1, Texas",Texas District 1
"Congressional District 1, Utah",Utah District 1
"Congressional District 1, Virginia",Virginia District 1
"Congressional District 1, Washington",Washington District 1
"Congressional District 1, West Virginia",West Virginia District 1
"Congressional District 1, Wisconsin",Wisconsin District 1
"Congressional District 10, California",California District 10
"Congressional District 10, Florida",Florida District 10
"Congressional District 10, Georgia",Georgia District 10
"Congressional District 10, Illinois",Illinois District 10
"Congressional District 10, Michigan",Michigan District 10
"Congressional District 10, New Jersey",New Jersey District 10
"Congressional District 10, New York",New York District 10
"Congressional District 10, North Carolina",North Carolina District 10
"Congressional District 10, Ohio",Ohio District 10
"Congressional District 10, Pennsylvania",Pennsylvania District 10
"Congressional District 10, Texas",Texas District 10
"Congressional District 10, Virginia",Virginia District 10
"Congressional District 10, Washington",Washington District 10
"Congressional District 11, California",California District 11
"Congressional District 11, Florida",Florida District 11
"Congressional District 11, Georgia",Georgia District 11
"Congressional District 11, Illinois",Illinois District 11
"Congressional District 11, Michigan",Michigan District 11
"Congressional District 11, New Jersey",New Jersey District 11
"Congressional District 11, New York",New York District 11
"Congressional District 11, North Carolina",North Carolina District 11
"Congressional District 11, Ohio",Ohio District 11
"Congressional District 11, Pennsylvania",Pennsylvania District 11
"Congressional District 11, Texas",Texas District 11
"Congressional District 11, Virginia",Virginia District 11
"Congressional District 12, California",California District 12
"Congressional District 12, Florida",Florida District 12
"Congressional District 12, Georgia",Georgia District 12
"Congressional District 12, Illinois",Illinois District 12
"Congressional District 12, Michigan",Michigan District 12
"Congressional District 12, New Jersey",New Jersey District 12
"Congressional District 12, New York",New York District 12
"Congressional District 12, North Carolina",North Carolina District 12
"Congressional District 12, Ohio",Ohio District 12
"Congressional District 12, Pennsylvania",Pennsylvania District 12
"Congressional District 12, Texas",Texas District 12
"Congressional District 13, California",California District 13
"Congressional District 13, Florida",Florida District 13
"Congressional District 13, Georgia",Georgia District 13
"Congressional District 13, Illinois",Illinois District 13
"Congressional District 13, Michigan",Michigan District 13
"Congressional District 13, New York",New York District 13
"Congressional District 13, North Carolina",North Carolina District 13
"Congressional District 13, Ohio",Ohio District 13
"Congressional District 13, Pennsylvania",Pennsylvania District 13
"Congressional District 13, Texas",Texas District 13
"Congressional District 14, California",California District 14
"Congressional District 14, Florida",Florida District 14
"Congressional District 14, Georgia",Georgia District 14
"Congressional District 14, Illinois",Illinois District 14
"Congressional District 14, Michigan",Michigan District 14
"Congressional District 14, New York",New York District 14
"Congressional District 14, Ohio",Ohio District 14
"Congressional District 14, Pennsylvania",Pennsylvania District 14
"Congressional District 14, Texas",Texas District 14
"Congressional District 15, California",California District 15
"Congressional District 15, Florida",Florida District 15
"Congressional District 15, Illinois",Illinois District 15
"Congressional District 15, New York",New York District 15
"Congressional District 15, Ohio",Ohio District 15
"Congressional District 15, Pennsylvania",Pennsylvania District 15
"Congressional District 15, Texas",Texas District 15
"Congressional District 16, California",California District 16
"Congressional District 16, Florida",Florida District 16
"Congressional District 16, Illinois",Illinois District 16
"Congressional District 16, New York",New York District 16
"Congressional District 16, Ohio",Ohio District 16
"Congressional District 16, Pennsylvania",Pennsylvania District 16
"Congressional District 16, Texas",Texas District 16
"Congressional District 17, California",California District 17
"Congressional District 17, Florida",Florida District 17
"Congressional District 17, Illinois",Illinois District 17
"Congressional District 17, New York",New York District 17
"Congressional District 17, Pennsylvania",Pennsylvania District 17
"Congressional District 17, Texas",Texas District 17
"Congressional District 18, California",California District 18
"Congressional District 18, Florida",Florida District 18
"Congressional District 18, Illinois",Illinois District 18
"Congressional District 18, New York",New York District 18
"Congressional District 18, Pennsylvania",Pennsylvania District 18
"Congressional District 18, Texas",Texas District 18
"Congressional District 19, California",California District 19
"Congressional District 19, Florida",Florida District 19
"Congressional District 19, New York",New York District 19
"Congressional District 19, Texas",Texas District 19
"Congressional District 2, Alabama",Alabama District 2
"Congressional District 2, Arizona",Arizona District 2
"Congressional District 2, Arkansas",Arkansas District 2
"Congressional District 2, California",California District 2
"Congressional District 2, Colorado",Colorado District 2
"Congressional District 2, Connecticut",Connecticut District 2
"Congressional District 2, Florida",Florida District 2
"Congressional District 2, Georgia",Georgia District 2
"Congressional District 2, Hawaii",Hawaii District 2
"Congressional District 2, Idaho",Idaho District 2
"Congressional District 2, Illinois",Illinois District 2
"Congressional District 2, Indiana",Indiana District 2
"Congressional District 2, Iowa",Iowa District 2
"Congressional District 2, Kansas",Kansas District 2
"Congressional District 2, Kentucky",Kentucky District 2
"Congressional District 2, Louisiana",Louisiana District 2
"Congressional District 2, Maine",Maine District 2
"Congressional District 2, Maryland",Maryland District 2
"Congressional District 2, Massachusetts",Massachusetts District 2
"Congressional District 2, Michigan",Michigan District 2
"Congressional District 2, Minnesota",Minnesota District 2
"Congressional District 2, Mississippi",Mississippi District 2
"Congressional District 2, Missouri",Missouri District 2
"Congressional District 2, Nebraska",Nebraska District 2
"Congressional District 2, Nevada",Nevada District 2
"Congressional District 2, New Hampshire",New Hampshire District 2
"Congressional District 2, New Jersey",New Jersey District 2
"Congressional District 2, New Mexico",New Mexico District 2
"Congressional District 2, New York",New York District 2
"Congressional District 2, North Carolina",North Carolina district 2
"Congressional District 2, Ohio",Ohio District 2
"Congressional District 2, Oklahoma",Oklahoma District 2
"Congressional District 2, Oregon",Oregon District 2
"Congressional District 2, Pennsylvania",Pennsylvania District 2
"Congressional District 2, Rhode Island",Rhode Island Rhode 2
"Congressional District 2, South Carolina",South Carolina District 2
"Congressional District 2, Tennessee",Tennessee District 2
"Congressional District 2, Texas",Texas District 2
"Congressional District 2, Utah",Utah District 2
"Congressional District 2, Virginia",Virginia District 2
"Congressional District 2, Washington",Washington District 2
"Congressional District 2, West Virginia",West Virginia District 2
"Congressional District 2, Wisconsin",Wisconsin District 2
"Congressional District 20, California",California District 20
"Congressional District 20, Florida",Florida District 20
"Congressional District 20, New York",New York District 20
"Congressional District 20, Texas",Texas District 20
"Congressional District 21, California",California District 21
"Congressional District 21, Florida",Florida District 21
"Congressional District 21, New York",New York District 21
"Congressional District 21, Texas",Texas District 21
"Congressional District 22, California",California District 22
"Congressional District 22, Florida",Florida District 22
"Congressional District 22, New York",New York District 22
"Congressional District 22, Texas",Texas District 22
"Congressional District 23, California",California District 23
"Congressional District 23, Florida",Florida District 23
"Congressional District 23, New York",New York District 23
"Congressional District 23, Texas",Texas District 23
"Congressional District 24, California",California District 24
"Congressional District 24, Florida",Florida District 24
"Congressional District 24, New York",New York District 24
"Congressional District 24, Texas",Texas District 24
"Congressional District 25, California",California District 25
"Congressional District 25, Florida",Florida District 25
"Congressional District 25, New York",New York District 25
"Congressional District 25, Texas",Texas District 25
"Congressional District 26, California",California District 26
"Congressional District 26, Florida",Florida District 26
"Congressional District 26, New York",New York District 26
