cycle,race,state,special,link
2018,House,Alabama,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_Alabama
2018,House,Alaska,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_election_in_Alaska
2018,House,Arizona,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_Arizona
2018,House,Arkansas,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_Arkansas
2018,House,California,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_California
2018,House,Colorado,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_Colorado
2018,House,Connecticut,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_Connecticut
2018,House,Delaware,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_election_in_Delaware
2018,House,Florida,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_Florida
2018,House,Georgia,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_Georgia
2018,House,Hawaii,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_Hawaii
2018,House,Idaho,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_Idaho
2018,House,Illinois,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_Illinois
2018,House,Indiana,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_Indiana
2018,House,Iowa,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_Iowa
2018,House,Kansas,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_Kansas
2018,House,Kentucky,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_Kentucky
2018,House,Louisiana,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_Louisiana
2018,House,Maine,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_Maine
2018,House,Maryland,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_Maryland
2018,House,Massachusetts,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_Massachusetts
2018,House,Michigan,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_Michigan
2018,House,Minnesota,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_Minnesota
2018,House,Mississippi,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_Mississippi
2018,House,Missouri,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_Missouri
2018,House,Montana,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_election_in_Montana
2018,House,Nebraska,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_Nebraska
2018,House,Nevada,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_Nevada
2018,House,New Hampshire,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_New_Hampshire
2018,House,New Jersey,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_New_Jersey
2018,House,New Mexico,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_New_Mexico
2018,House,New York,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_New_York
2018,House,North Carolina,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_North_Carolina
2018,House,North Dakota,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_election_in_North_Dakota
2018,House,Ohio,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_Ohio
2018,House,Oklahoma,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_Oklahoma
2018,House,Oregon,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_Oregon
2018,House,Pennsylvania,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_Pennsylvania
2018,House,Rhode Island,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_Rhode_Island
2018,House,South Carolina,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_South_Carolina
2018,House,South Dakota,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_election_in_South_Dakota
2018,House,Tennessee,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_Tennessee
2018,House,Texas,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_Texas
2018,House,Utah,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_Utah
2018,House,Vermont,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_election_in_Vermont
2018,House,Virginia,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_Virginia
2018,House,Washington,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_Washington
2018,House,West Virginia,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_West_Virginia
2018,House,Wisconsin,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_Wisconsin
2018,House,Wyoming,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_election_in_Wyoming
2020,House,Alabama,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_Alabama
2020,House,Alaska,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_election_in_Alaska
2020,House,Arizona,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_Arizona
2020,House,Arkansas,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_Arkansas
2020,House,California,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_California
2020,House,Colorado,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_Colorado
2020,House,Connecticut,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_Connecticut
2020,House,Delaware,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_election_in_Delaware
2020,House,Florida,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_Florida
2020,House,Georgia,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_Georgia
2020,House,Hawaii,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_Hawaii
2020,House,Idaho,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_Idaho
2020,House,Illinois,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_Illinois
2020,House,Indiana,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_Indiana
2020,House,Iowa,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_Iowa
2020,House,Kansas,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_Kansas
2020,House,Kentucky,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_Kentucky
2020,House,Louisiana,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_Louisiana
2020,House,Maine,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_Maine
2020,House,Maryland,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_Maryland
2020,House,Massachusetts,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_Massachusetts
2020,House,Michigan,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_Michigan
2020,House,Minnesota,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_Minnesota
2020,House,Mississippi,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_Mississippi
2020,House,Missouri,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_Missouri
2020,House,Montana,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_election_in_Montana
2020,House,Nebraska,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_Nebraska
2020,House,Nevada,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_Nevada
2020,House,New Hampshire,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_New_Hampshire
2020,House,New Jersey,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_New_Jersey
2020,House,New Mexico,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_New_Mexico
2020,House,New York,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_New_York
2020,House,North Carolina,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_North_Carolina
2020,House,North Dakota,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_election_in_North_Dakota
2020,House,Ohio,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_Ohio
2020,House,Oklahoma,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_Oklahoma
2020,House,Oregon,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_Oregon
2020,House,Pennsylvania,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_Pennsylvania
2020,House,Rhode Island,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_Rhode_Island
2020,House,South Carolina,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_South_Carolina
2020,House,South Dakota,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_election_in_South_Dakota
2020,House,Tennessee,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_Tennessee
2020,House,Texas,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_Texas
2020,House,Utah,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_Utah
2020,House,Vermont,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_election_in_Vermont
2020,House,Virginia,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_Virginia
2020,House,Washington,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_Washington
2020,House,West Virginia,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_West_Virginia
2020,House,Wisconsin,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_Wisconsin
2020,House,Wyoming,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_election_in_Wyoming
2018,Senate,Arizona,,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_Arizona
2018,Senate,California,,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_California
2018,Senate,Connecticut,,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_Connecticut
2018,Senate,Delaware,,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_Delaware
2018,Senate,Florida,,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_Florida
2018,Senate,Hawaii,,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_Hawaii
2018,Senate,Indiana,,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_Indiana
