date,dem_estimate,dem_hi,dem_lo,rep_estimate,rep_hi,rep_lo
2021-11-19,42.034068,46.981064,37.087072,42.579445,48.753725,36.405165
2021-11-18,41.908301,46.842576,36.974025,42.5273,48.707597,36.347003
2021-11-17,42.112169,47.115818,37.10852,42.40987,48.62508,36.19466
2021-11-16,42.124671,47.145332,37.10401,42.384735,48.628449,36.141021
2021-11-15,42.394808,47.375059,37.414556,41.817185,47.884997,35.749372
2021-11-14,42.411296,47.389367,37.433226,41.809331,47.870614,35.748049
2021-11-13,42.511003,47.5354,37.486607,41.151824,46.993139,35.310509
2021-11-12,42.524628,47.546199,37.503057,41.151,46.988019,35.313982
2021-11-11,42.455061,47.53186,37.378261,41.196489,47.112219,35.280759
2021-11-10,42.468068,47.541389,37.394747,41.195708,47.106329,35.285087
2021-11-09,43.130433,47.818533,38.442334,42.058914,47.638958,36.478871
2021-11-08,43.174184,47.863463,38.484906,42.063757,47.668482,36.459033
2021-11-07,42.97201,47.60889,38.33513,42.027297,47.659532,36.395062
2021-11-06,43.332966,47.883817,38.782115,41.737129,47.370154,36.104105
2021-11-05,43.339387,47.890928,38.787846,41.726908,47.356534,36.097282
2021-11-04,43.446108,48.036091,38.856124,41.168903,46.665254,35.672552
2021-11-03,43.45139,48.041617,38.861162,41.165447,46.659376,35.671518
2021-11-02,43.54154,48.20732,38.87576,40.88869,46.41019,35.36719
2021-11-01,43.58347,48.22762,38.93931,40.86164,46.37433,35.34896
2021-10-31,44.0243,48.54547,39.50314,41.54601,46.68345,36.40857
2021-10-30,43.85657,48.3884,39.32473,41.36609,46.50059,36.23159
2021-10-29,43.86335,48.39532,39.33137,41.36715,46.50103,36.23326
2021-10-28,43.87119,48.40323,39.33915,41.36929,46.50326,36.23532
2021-10-27,43.87698,48.40921,39.34476,41.37037,46.50492,36.23581
2021-10-26,43.853607,48.4078,39.299414,41.338263,46.486714,36.189812
2021-10-25,43.860908,48.414339,39.307477,41.340226,46.487253,36.193199
2021-10-24,44.094963,48.566113,39.623813,41.559489,46.611705,36.507273
2021-10-23,44.098501,48.570144,39.626858,41.557723,46.611042,36.504405
2021-10-22,44.101992,48.57424,39.629743,41.555895,46.611144,36.500645
2021-10-21,44.105118,48.577671,39.632565,41.553944,46.610764,36.497124
2021-10-20,44.275869,48.797225,39.754514,41.712436,46.842138,36.582734
2021-10-19,44.314833,48.89304,39.736625,41.541818,46.62817,36.455466
2021-10-18,44.317098,48.89481,39.739385,41.540681,46.628919,36.452442
2021-10-17,44.319642,48.896463,39.74282,41.53966,46.629065,36.450255
2021-10-16,44.322002,48.898155,39.745848,41.538007,46.62834,36.447674
2021-10-15,44.310573,48.90835,39.712795,41.54813,46.664958,36.431302
2021-10-14,44.435332,49.016662,39.854002,41.531357,46.675861,36.386852
2021-10-13,44.435841,49.016655,39.855027,41.529658,46.674403,36.384912
2021-10-12,44.443081,49.037815,39.848348,41.593183,46.738599,36.447767
2021-10-11,44.443263,49.037291,39.849235,41.59,46.735874,36.444127
2021-10-10,44.443564,49.036424,39.850703,41.586997,46.732709,36.441286
2021-10-09,44.444222,49.036175,39.852269,41.583853,46.729444,36.438262
2021-10-08,44.44459,49.035958,39.853222,41.580539,46.726531,36.434547
2021-10-07,44.740156,49.254059,40.226254,41.894078,46.92405,36.864106
2021-10-06,44.736682,49.250354,40.223011,41.887312,46.918937,36.855686
2021-10-05,44.904062,49.449596,40.358528,42.018014,47.053175,36.982853
2021-10-04,45.067448,49.643948,40.490947,41.685,46.608377,36.761622
2021-10-03,45.073412,49.692383,40.454441,41.719959,46.692579,36.747339
2021-10-02,45.064377,49.681791,40.446963,41.713648,46.687796,36.7395
2021-10-01,45.056185,49.67275,40.439619,41.707829,46.683689,36.73197
2021-09-30,45.048043,49.662812,40.433274,41.701796,46.678738,36.724855
2021-09-29,44.965148,49.651934,40.278361,42.059518,47.080416,37.03862
2021-09-28,44.657717,49.256422,40.059012,41.706695,46.66074,36.752651
2021-09-27,44.653419,49.251369,40.055469,41.7021,46.658209,36.745992
2021-09-26,44.646609,49.242999,40.050219,41.696639,46.654466,36.738813
2021-09-25,44.637512,49.231642,40.043382,41.688447,46.64783,36.729064
2021-09-24,44.631709,49.22475,40.038668,41.681311,46.64279,36.719833
2021-09-23,44.447131,48.997096,39.897167,41.792682,46.791928,36.793436
2021-09-22,44.444438,48.994518,39.894359,41.785702,46.789869,36.781536
2021-09-21,43.758875,48.201129,39.316621,41.175946,46.149378,36.202513
2021-09-20,43.763876,48.20716,39.320591,41.174913,46.151457,36.198369
2021-09-19,43.767813,48.212272,39.323354,41.174335,46.153712,36.194958
2021-09-18,43.772711,48.218619,39.326803,41.173632,46.157413,36.18985
2021-09-17,43.776719,48.224015,39.329423,41.171979,46.159745,36.184213
2021-09-16,43.787758,48.231659,39.343857,41.187737,46.178513,36.196962
2021-09-15,43.78306,48.26768,39.29843,41.14745,46.17536,36.11954
2021-09-14,43.84528,48.443600000000004,39.24696,41.35109,46.45134,36.25085
