subgroup,modeldate,startdate,enddate,pollster,grade,samplesize,population,weight,influence,dem,rep,adjusted_dem,adjusted_rep,multiversions,tracking,url,poll_id,question_id,createddate,timestamp
All polls,11/19/2021,11/21/2020,11/23/2020,McLaughlin & Associates,C/D,1000,lv,0.42675533,0,45,47,43.457303,43.184259,NA,NA,https://mclaughlinonline.com/pols/wp-content/uploads/2020/11/Newsmax-National-PPT-11-24-20-.pdf,73339,139355,1/20/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,12/9/2020,12/13/2020,McLaughlin & Associates,C/D,1000,lv,0.40561148,0,46,48,44.457303,44.184259,NA,NA,https://mclaughlinonline.com/pols/wp-content/uploads/2020/12/National-Monthly-December-For-Release-1.pdf,73755,139356,1/20/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,2/12/2021,2/18/2021,Echelon Insights,B/C,1005,rv,0.72470109,0.01056427,44,44,41.67855,43.242034,NA,NA,https://echeloninsights.com/in-the-news/march-omnibus-political/,74400,140351,3/24/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,2/18/2021,2/23/2021,GQR Research,B,1000,rv,1.1342245,0.02687679,47.666667,42.333333,46.203465,40.949904,*,NA,https://democracycorps.com/national-surveys/new-democracy-corps-national-phone-poll-fixed-to-accommodate-trumps-right-wing-populism/,74469,140129,3/10/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,2/22/2021,2/25/2021,NRSC,NA,1200,lv,0.77286662,0.02228566,39,38,40.527898,38.678866,NA,NA,https://static.politico.com/46/bc/107f15c4455fb427632f492b4deb/nrsc-national-survey.pdf,74745,140879,4/30/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,2/24/2021,2/28/2021,McLaughlin & Associates,C/D,1000,lv,0.34666411,0.00863116,46,46,44.457303,42.184259,NA,NA,https://mclaughlinonline.com/pols/wp-content/uploads/2021/03/National-Monthly-For-Release-3-03-21.pdf,74444,140041,3/3/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,2/26/2021,2/28/2021,Léger,B/C,1002,a,0.96294561,0.03109859,39,31,40.511841,34.197116,NA,NA,https://leger360.com/wp-content/uploads/2021/03/Legers-North-American-Tracker-March-1st-2021-min.pdf,74438,139992,3/2/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,3/15/2021,3/21/2021,Echelon Insights,B/C,1008,rv,0.62110179,0.02577272,46,42,43.67855,41.242034,NA,NA,https://echeloninsights.com/in-the-news/march-omnibus-political/,74557,140352,3/24/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,4/3/2021,4/7/2021,PEM Management Corporation,NA,1000,lv,0.69027885,0.04585234,39.8,42.7,41.101339,41.787442,NA,NA,https://boltonsuperpac.com/pdfs/crostabs_04202021.pdf,74681,140689,4/20/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,4/7/2021,4/11/2021,The Winston Group,A/B,1000,rv,1.2150589999999999,0.09047934,45,41,44.03681,40.307515,NA,NA,https://www.winningtheissues.org/wp-content/uploads/2021/08/Winning-the-Issues-April-2021-National-Survey.pdf,75474,143966,8/6/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,4/8/2021,4/13/2021,McLaughlin & Associates,C/D,1000,lv,0.34199665,0.0204114,46,46.4,44.457303,42.584259,NA,NA,https://www.ammoland.com/2021/04/new-mclaughlin-poll-strong-2a-support-not-so-much-for-exec-orders/#axzz6sCmt62BU,74665,140646,4/16/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,4/12/2021,4/16/2021,Ipsos,B-,4423,a,1.2202031,0.08869161,39,31,41.697648,35.266046,NA,NA,https://www.ipsos.com/sites/default/files/ct/news/documents/2021-05/Reuters%20Ipsos%20Large%20Issue%20Poll%20%232%20Topline%20%20Write-up%20-%20Biden%20100%20Days%20-%2012%20April%20thru%2016%20April%202021.pdf,74812,142388,5/19/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,4/15/2021,4/17/2021,RMG Research,B-,1200,rv,0.70277021,0.04676626,43,39,44.50089,39.855092,NA,NA,https://scottrasmussen.com/generic-congressional-ballot-democrats-43-republicans-39/,74673,140667,4/19/2021,14:56:06 19 Nov 2021
