question_id,poll_id,race_id,cycle,state,pollster_id,pollster,sponsor_ids,sponsors,partisan,display_name,pollster_rating_id,pollster_rating_name,fte_grade,sample_size,population,population_full,methodology,office_type,seat_number,start_date,end_date,sponsor_candidate,tracking,nationwide_batch,created_at,notes,url,stage,dem,rep,ind
136472,72714,8274,2020,NA,568,YouGov,352,Economist,NA,YouGov,391,YouGov,B+,1500,rv,rv,Online,U.S. House,NA,10/31/20,11/2/20,NA,NA,FALSE,11/2/20 17:36,NA,https://docs.cdn.yougov.com/jsojry0vph/econTabReport.pdf,general,48,39,NA
136473,72714,8274,2020,NA,568,YouGov,352,Economist,NA,YouGov,391,YouGov,B+,1363,lv,lv,Online,U.S. House,NA,10/31/20,11/2/20,NA,NA,FALSE,11/2/20 17:36,NA,https://docs.cdn.yougov.com/jsojry0vph/econTabReport.pdf,general,52,42,NA
137478,73340,8274,2020,NA,1416,Harris Insights & Analytics,960,Hill.TV,NA,HarrisX,133,Harris Insights & Analytics,B+,2813,rv,rv,Online,U.S. House,NA,10/31/20,11/2/20,NA,NA,FALSE,11/28/20 21:12,NA,https://blog.harrisx.com/blog/final-2020-presidential-election-polling,general,45,41,NA
137479,73340,8274,2020,NA,1416,Harris Insights & Analytics,960,Hill.TV,NA,HarrisX,133,Harris Insights & Analytics,B+,2297,lv,lv,Online,U.S. House,NA,10/31/20,11/2/20,NA,NA,FALSE,11/28/20 21:13,NA,https://blog.harrisx.com/blog/final-2020-presidential-election-polling,general,48,43,NA
136615,72808,8274,2020,NA,1610,USC Dornsife/Los Angeles Times,NA,NA,NA,USC Dornsife,343,USC Dornsife/Los Angeles Times,B/C,5413,lv,lv,Online,U.S. House,NA,10/20/20,11/2/20,NA,TRUE,FALSE,11/4/20 10:28,probabilistic voting question,https://election.usc.edu/,general,52.59,44.59,NA
136356,72648,8274,2020,NA,1582,John Zogby Strategies/EMI Research Solutions,NA,NA,NA,John Zogby Strategies/EMI Research Solutions,583,John Zogby Strategies/EMI Research Solutions,B/C,1008,lv,lv,Online,U.S. House,NA,11/1/20,11/1/20,NA,NA,FALSE,11/2/20 15:42,NA,https://johnzogbystrategies.com/wp-content/uploads/2020/11/X1-Weighted-110120.pdf,general,46.6,44.3,NA
136315,72619,8274,2020,NA,568,YouGov,1213,Yahoo News,NA,YouGov,391,YouGov,B+,1360,lv,lv,Online,U.S. House,NA,10/30/20,11/1/20,NA,NA,FALSE,11/2/20 11:57,NA,https://docs.cdn.yougov.com/9uv1pif4fj/20201101_yahoo_coronavirus_tabs.pdf,general,52,43,NA
136316,72619,8274,2020,NA,568,YouGov,1213,Yahoo News,NA,YouGov,391,YouGov,B+,1501,rv,rv,Online,U.S. House,NA,10/30/20,11/1/20,NA,NA,FALSE,11/2/20 11:57,NA,https://docs.cdn.yougov.com/9uv1pif4fj/20201101_yahoo_coronavirus_tabs.pdf,general,49,40,NA
136282,72601,8274,2020,NA,1610,USC Dornsife/Los Angeles Times,NA,NA,NA,USC Dornsife,343,USC Dornsife/Los Angeles Times,B/C,5372,lv,lv,Online,U.S. House,NA,10/19/20,11/1/20,NA,TRUE,FALSE,11/2/20 08:25,probabilistic voting question,https://election.usc.edu/,general,52.34,44.77,NA
136033,72486,8274,2020,NA,335,NBC News/The Wall Street Journal,NA,NA,NA,NBC News/The Wall Street Journal,221,NBC News/The Wall Street Journal,B+,1000,rv,rv,Live Phone,U.S. House,NA,10/29/20,10/31/20,NA,NA,FALSE,11/1/20 09:14,NA,https://www.documentcloud.org/documents/7280263-200986-NBCWSJ-Late-October-Poll.html,general,48,43,NA
136242,72598,8274,2020,NA,1189,Morning Consult,NA,NA,NA,Morning Consult,218,Morning Consult,B,14663,lv,lv,Online,U.S. House,NA,10/29/20,10/31/20,NA,TRUE,FALSE,11/2/20 07:14,NA,https://morningconsult.com/form/2020-u-s-election-tracker/,general,50,43,NA
136027,72485,8274,2020,NA,1610,USC Dornsife/Los Angeles Times,NA,NA,NA,USC Dornsife,343,USC Dornsife/Los Angeles Times,B/C,5354,lv,lv,Online,U.S. House,NA,10/18/20,10/31/20,NA,TRUE,FALSE,11/1/20 07:34,probabilistic voting question,https://election.usc.edu/,general,52.45,44.51,NA
