region,white,black,hispanic,aapi,other
Alabama,0.631378827,0.256153692,0.052631579,0.015609366,0.044226536
Alabama District 1,0.659968652,0.246363636,0.032319749,0.01492163,0.046426332
Alabama District 2,0.620250784,0.29031348,0.035736677,0.018495298,0.035203762
Alabama District 3,0.677366771,0.240407524,0.030721003,0.017366771,0.034137931
Alabama District 4,0.824137931,0.071034483,0.056583072,0.006050157,0.042194357
Alabama District 5,0.708893696,0.169315653,0.052822973,0.019060159,0.049907521
Alabama District 6,0.711630094,0.181755486,0.053793103,0.019028213,0.033793103
Alabama District 7,0.386050157,0.540282132,0.036551724,0.012288401,0.024827586
Alaska,0.575345207,0.02831699,0.067940764,0.076245747,0.252151291
Arizona,0.53367069,0.04434887,0.30654442,0.03679786,0.07863817
Arizona District 1,0.736474576,0.029932203,0.138610169,0.043864407,0.051118644
Arizona District 2,0.600338983,0.020237288,0.146372881,0.013016949,0.220033898
Arizona District 3,0.237898305,0.101016949,0.582,0.028474576,0.050610169
Arizona District 4,0.594169492,0.050915254,0.231423729,0.059389831,0.064101695
Arizona District 5,0.704067797,0.034677966,0.153762712,0.059864407,0.047627119
Arizona District 6,0.673457627,0.031966102,0.213118644,0.030576271,0.050881356
Arizona District 7,0.328949153,0.038508475,0.554847458,0.021457627,0.056237288
Arizona District 8,0.686383512,0.042235856,0.180875225,0.04315108,0.047354327
Arizona District 9,0.622800773,0.040645446,0.258110444,0.024475406,0.053967931
Arkansas,0.685411247,0.149089454,0.085351211,0.021713028,0.058435061
Arkansas District 1,0.75759322,0.16179661,0.031254237,0.007050847,0.042305085
Arkansas District 2,0.691209872,0.190853927,0.051493271,0.018102309,0.048340622
Arkansas District 3,0.716261568,0.027865351,0.138886064,0.035730025,0.081256992
Arkansas District 4,0.696169492,0.189254237,0.060305085,0.00820339,0.046067797
California,0.346861255,0.053578569,0.393842463,0.154938025,0.050779688
California District 1,0.653254237,0.018033898,0.195322034,0.055288136,0.078101695
California District 2,0.683966102,0.017050847,0.179084746,0.044271186,0.075627119
California District 3,0.723177057,0.016000542,0.123902505,0.071121055,0.065798841
California District 4,0.553205193,0.029899319,0.275433066,0.080409505,0.061052917
California District 5,0.630326452,0.022407539,0.223194007,0.060137632,0.063934371
California District 6,0.511372496,0.087759737,0.203315142,0.119894241,0.077658384
California District 7,0.350033898,0.101050847,0.240644068,0.231322034,0.076949153
California District 8,0.269365063,0.153022136,0.315264924,0.196582935,0.065764941
California District 9,0.326372881,0.074542373,0.376,0.169152542,0.053932203
California District 10,0.512863971,0.045489983,0.166536728,0.216874004,0.058235314
California District 11,0.446391648,0.051693163,0.131927731,0.313413105,0.056574353
California District 12,0.351876335,0.154818807,0.211769891,0.217837893,0.063697074
California District 13,0.258567506,0.031083692,0.607165859,0.06626894,0.036914003
California District 14,0.281583675,0.052913461,0.227619403,0.381207417,0.056676045
California District 15,0.30178638,0.026914342,0.246466221,0.371106064,0.053726992
California District 16,0.462863148,0.019695583,0.173599105,0.295908336,0.047933828
California District 17,0.228474576,0.020033898,0.150711864,0.563661017,0.037118644
California District 18,0.212990271,0.021492254,0.607613817,0.124444896,0.033458761
California District 19,0.517084746,0.022271186,0.21979661,0.186033898,0.054813559
California District 20,0.534675311,0.033300519,0.301673512,0.075257137,0.05509352
California District 21,0.211525424,0.047016949,0.607186441,0.101525424,0.032745763
California District 22,0.187288136,0.049186441,0.693220339,0.041694915,0.028610169
California District 23,0.441438693,0.08200278,0.373538086,0.048916912,0.054103529
California District 24,0.542933841,0.014373577,0.339766897,0.055387543,0.047538143
California District 25,0.28426155,0.045489983,0.60381004,0.031151486,0.035286939
California District 26,0.462237288,0.017830508,0.390711864,0.088135593,0.041084746
California District 27,0.37240678,0.094745763,0.392033898,0.095932203,0.044881356
California District 28,0.289389831,0.037152542,0.246542373,0.394440678,0.032474576
California District 29,0.235627119,0.040644068,0.610915254,0.086305085,0.026508475
California District 30,0.587017874,0.036026619,0.225601895,0.104665343,0.046688269
California District 31,0.167384156,0.024405952,0.574048337,0.210975899,0.023185655
California District 32,0.547781281,0.04223872,0.23478762,0.127733143,0.047459236
California District 33,0.200576271,0.10220339,0.586508475,0.076474576,0.034237288
