cycle,race,state,seat,candidate_name_DEM,candidate_name_REP,dem_incumbent,rep_incumbent
2022,House,Alabama,District 1,Remrey,Carl,n,y
2022,House,Alabama,District 2,Harvey-Hall,Moore,n,y
2022,House,Alabama,District 3,Veasey,Rogers,n,y
2022,House,Alabama,District 4,Neighbors,Aderholt,n,y
2022,House,Alabama,District 5,Warner-Stanton,Strong,n,n
2022,House,Alabama,District 6,Chieffo,Palmer,n,y
2022,House,Alabama,District 7,Sewell,Nichols,y,n
2022,House,Alaska,District 1,Peltola,Begich,n,n
2022,House,Arizona,District 1,Hodge,Schweikert,n,y
2022,House,Arizona,District 2,O'Halleran,Crane,y,n
2022,House,Arizona,District 3,Gallego,Zink,y,n
2022,House,Arizona,District 4,Stanton,Cooper,y,n
2022,House,Arizona,District 5,Ramos,Biggs,n,y
2022,House,Arizona,District 6,Engel,Ciscomani,n,n
2022,House,Arizona,District 7,Grijalva,Pozzolo,y,n
2022,House,Arizona,District 8,-,Lesko,n,y
2022,House,Arizona,District 9,-,Gosar,n,y
2022,House,Arkansas,District 1,Hodges,Crawford,n,y
2022,House,Arkansas,District 2,Hathaway,Hill,n,y
2022,House,Arkansas,District 3,Mallett-Hays,Womack,n,y
2022,House,Arkansas,District 4,White,Westerman,n,y
2022,House,California,District 1,Steiner,LaMalfa,n,y
2022,House,California,District 2,Huffman,Brower,y,n
2022,House,California,District 3,Jones,Kiley,n,n
2022,House,California,District 4,Thompson,Brock,y,n
2022,House,California,District 5,Barkley,McClintock,n,y
2022,House,California,District 6,Bera,Hamilton,y,n
2022,House,California,District 7,Matsui,Semenenko,y,n
2022,House,California,District 8,Garamendi,Recile,y,n
2022,House,California,District 9,Harder,Patti,y,n
2022,House,California,District 10,DeSaulnier,Kerr,y,n
2022,House,California,District 11,Pelosi,Dennis,y,n
2022,House,California,District 12,Lee,Slauson,y,n
2022,House,California,District 13,Gray,Duarte,n,n
2022,House,California,District 14,Swalwell,Hayden,y,n
2022,House,California,District 15,Mullin,-,n,n
2022,House,California,District 16,Eshoo,-,y,n
2022,House,California,District 17,Khanna,Tandon,y,n
2022,House,California,District 18,Lofgren,Hernandez,y,n
2022,House,California,District 19,Panetta,Gorman,y,n
2022,House,California,District 20,Wood,McCarthy,n,y
2022,House,California,District 21,Costa,Maher,y,n
2022,House,California,District 22,Salas,Valadao,n,y
2022,House,California,District 23,Marshall,Obernolte,n,y
2022,House,California,District 24,Carbajal,Allen,y,n
2022,House,California,District 25,Ruiz,Hawkins,y,n
2022,House,California,District 26,Brownley,Jacobs,y,n
2022,House,California,District 27,Smith,Garcia,n,y
2022,House,California,District 28,Chu,Hallman,y,n
2022,House,California,District 29,Cárdenas,-,y,n
2022,House,California,District 30,Schiff,-,y,n
2022,House,California,District 31,Napolitano,Martinez,y,n
2022,House,California,District 32,Sherman,Volotzky,y,n
2022,House,California,District 33,Aguilar,Porter,y,n
2022,House,California,District 34,Gomez,-,y,n
2022,House,California,District 35,Torres,Cargile,y,n
2022,House,California,District 36,Lieu,Collins,y,n
2022,House,California,District 37,Kamlager,-,n,n
2022,House,California,District 38,Sánchez,Ching,y,n
2022,House,California,District 39,Takano,Smith,y,n
