race,timestamp,sims,p_dem_win,seats,seats_sd,seats_lower,seats_upper,called_race,called_state,called_seat,called_winner
House,2022-11-09T00:00:11Z,40000,0.242825,204.9299,17.877118777207762,182.01945044364263,227.84034955635738,new,new,new,new
Senate,2022-11-09T00:00:11Z,40000,0.358525,48.682725,2.2958644013113516,45.74045638222132,51.62499361777868,new,new,new,new
House,2022-11-09T00:02:39Z,36255,0.2218452627223831,203.8897807199007,17.705336540531516,181.19947895788852,226.58008248191288,Senate,Indiana,Class III,rep
Senate,2022-11-09T00:02:39Z,36255,0.32213487794786927,48.47284512481037,2.2018150761202833,45.65110556696872,51.29458468265202,Senate,Indiana,Class III,rep
House,2022-11-09T00:02:59Z,36214,0.22135085878389574,203.86916662064394,17.698408076817408,181.1877440421514,226.55058919913648,Senate,South Carolina,Class III,rep
Senate,2022-11-09T00:02:59Z,36214,0.32153310874247526,48.46915557519191,2.1991722081404483,45.65080298894735,51.28750816143648,Senate,South Carolina,Class III,rep
House,2022-11-09T01:04:34Z,39543,0.24019421895152113,204.78921680196243,17.845238428554488,181.91962355633174,227.6588100475931,Senate,Kentucky,Class III,rep
Senate,2022-11-09T01:04:34Z,39543,0.35394380800647396,48.65505904964216,2.281352106325598,45.73138868622212,51.578729413062206,Senate,Kentucky,Class III,rep
House,2022-11-09T01:06:52Z,39543,0.24019421895152113,204.78921680196243,17.845238428554488,181.91962355633174,227.6588100475931,Senate,Oklahoma,Class III,rep
Senate,2022-11-09T01:06:52Z,39543,0.35394380800647396,48.65505904964216,2.281352106325598,45.73138868622212,51.578729413062206,Senate,Oklahoma,Class III,rep
House,2022-11-09T01:07:05Z,39476,0.23928462863512007,204.74911338534807,17.825293326556952,181.9050808164073,227.59314595428884,Senate,Oklahoma,Class II,rep
Senate,2022-11-09T01:07:05Z,39476,0.35302462255547673,48.64902725706759,2.276716815738628,45.73129725755603,51.566757256579145,Senate,Oklahoma,Class II,rep
House,2022-11-09T01:07:29Z,39470,0.2392196605016468,204.74694704839118,17.8253954763307,181.90278356924793,227.59111052753443,Senate,Alabama,Class III,rep
Senate,2022-11-09T01:07:29Z,39470,0.3529262731188244,48.64859386876108,2.2764765672678076,45.73117176005343,51.56601597746874,Senate,Alabama,Class III,rep
House,2022-11-09T01:07:41Z,38417,0.22469219356014264,204.1266626753781,17.524551157121827,181.6680467045022,226.585278646254,Senate,Florida,Class III,rep
Senate,2022-11-09T01:07:41Z,38417,0.3376369836270401,48.55079782388005,2.205918063170941,45.723800076560224,51.37779557119988,Senate,Florida,Class III,rep
House,2022-11-09T01:42:17Z,38318,0.22524662038728535,204.17297353724098,17.499232163869465,181.74680516180564,226.59914191267632,Senate,Vermont,Class III,dem
Senate,2022-11-09T01:42:17Z,38318,0.3384049271882666,48.558014510151885,2.202005397838486,45.73603104521431,51.37999797508946,Senate,Vermont,Class III,dem
House,2022-11-09T02:06:24Z,34796,0.20559834463731463,203.1891309345902,17.354836585364676,180.94801293884538,225.430248930335,Senate,Arkansas,Class III,rep
Senate,2022-11-09T02:06:24Z,34796,0.3024198183699276,48.35920795493735,2.114656154113237,45.649167050045,51.06924885982969,Senate,Arkansas,Class III,rep
House,2022-11-09T02:06:38Z,34794,0.2055526814968098,203.18730240846122,17.353657731848934,180.94769517428506,225.42690964263738,Senate,South Dakota,Class III,rep
Senate,2022-11-09T02:06:38Z,34794,0.30237972064148994,48.35888371558315,2.114284412201093,45.64931921712029,51.068448214046,Senate,South Dakota,Class III,rep
House,2022-11-09T02:06:47Z,34792,0.20556449758565187,203.1898712347666,17.35084480450282,180.9538689120346,225.4258735574986,Senate,New York,Class III,dem
Senate,2022-11-09T02:06:47Z,34792,0.3023971027822488,48.359105541503794,2.1141393294486446,45.64972697406947,51.068484108938115,Senate,New York,Class III,dem
House,2022-11-09T02:07:45Z,34697,0.20451335850361702,203.14318240770095,17.335062740389464,180.92740561394095,225.35895920146095,Senate,Kansas,Class III,rep
Senate,2022-11-09T02:07:45Z,34697,0.300948208778857,48.35141366688763,2.109563882697043,45.647898770400886,51.054928563374375,Senate,Kansas,Class III,rep
House,2022-11-09T02:16:28Z,33664,0.20885812737642587,203.49664329847909,17.193013910237223,181.46290940538447,225.5303771915737,House,Delaware,District 1,dem
Senate,2022-11-09T02:16:28Z,33664,0.30641040874524716,48.38417894486692,2.1064870368593605,45.68460718498039,51.08375070475344,House,Delaware,District 1,dem
House,2022-11-09T02:16:40Z,28321,0.17577062956816497,201.8916351823735,17.013788887292762,180.08758739801814,223.69568296672887,House,Florida,District 2,rep
Senate,2022-11-09T02:16:40Z,28321,0.2772854065887504,48.224709579464005,2.079679973855195,45.55949245313813,50.88992670578988,House,Florida,District 2,rep
House,2022-11-09T02:16:54Z,28019,0.1703486919590278,201.6615154002641,16.90465700664305,179.9973257484062,223.325705052122,House,Florida,District 3,rep
Senate,2022-11-09T02:16:54Z,28019,0.27263642528284376,48.200970769834754,2.0702845231559857,45.54779439806144,50.85414714160807,House,Florida,District 3,rep
House,2022-11-09T02:17:01Z,26123,0.15729433832255102,200.98491750564637,16.801301964519872,179.45318266982835,222.51665234146438,House,Florida,District 4,rep
Senate,2022-11-09T02:17:01Z,26123,0.26149370286720514,48.13738850821115,2.057123070382265,45.50107921684484,50.77369779957746,House,Florida,District 4,rep
House,2022-11-09T02:17:08Z,26112,0.15701593137254902,200.97457107843138,16.79570514155405,179.4500088598473,222.49913329701548,House,Florida,District 6,rep
Senate,2022-11-09T02:17:08Z,26112,0.26122089460784315,48.1362974877451,2.056662742997174,45.500578129659814,50.77201684583038,House,Florida,District 6,rep
House,2022-11-09T02:17:15Z,23899,0.12753671701744843,199.60002510565295,16.401196045845037,178.58104663629632,220.61900357500957,House,Florida,District 7,rep
Senate,2022-11-09T02:17:15Z,23899,0.2345704841206745,47.99694547889033,2.0141226315424743,45.415743467238265,50.5781474905424,House,Florida,District 7,rep
House,2022-11-09T02:17:22Z,23840,0.12625838926174496,199.54907718120805,16.37870410183976,178.55892329790353,220.53923106451256,House,Florida,District 8,rep
Senate,2022-11-09T02:17:22Z,23840,0.23368288590604028,47.99236577181208,2.0129474212697622,45.412669852724854,50.57206169089931,House,Florida,District 8,rep
House,2022-11-09T02:17:29Z,23840,0.12625838926174496,199.54907718120805,16.37870410183976,178.55892329790353,220.53923106451256,House,Delaware,District 1,dem
Senate,2022-11-09T02:17:29Z,23840,0.23368288590604028,47.99236577181208,2.0129474212697622,45.412669852724854,50.57206169089931,House,Delaware,District 1,dem
House,2022-11-09T02:17:52Z,23411,0.12848660885908333,199.95788304643116,16.073627146634625,179.35870101268137,220.55706508018096,House,Florida,District 10,dem
Senate,2022-11-09T02:17:52Z,23411,0.23766605441886293,48.027551151168254,2.002531818101107,45.461203364627906,50.5938989377086,House,Florida,District 10,dem
House,2022-11-09T02:17:58Z,23071,0.12236140609423085,199.68579602097873,15.955591458850314,179.23788280769904,220.13370923425842,House,Florida,District 11,rep
Senate,2022-11-09T02:17:58Z,23071,0.23184950804039703,47.99917645529019,1.9898418269878766,45.44909154672775,50.54926136385263,House,Florida,District 11,rep
House,2022-11-09T02:18:05Z,23071,0.12236140609423085,199.68579602097873,15.955591458850314,179.23788280769904,220.13370923425842,House,Florida,District 12,rep
Senate,2022-11-09T02:18:05Z,23071,0.23184950804039703,47.99917645529019,1.9898418269878766,45.44909154672775,50.54926136385263,House,Florida,District 12,rep
House,2022-11-09T02:18:10Z,16655,0.08958270789552687,197.46010207145002,15.817875654276445,177.18867876312223,217.73152537977782,House,Florida,District 15,rep
Senate,2022-11-09T02:18:10Z,16655,0.1969978985289703,47.79099369558691,1.9488697992210673,45.293416553352564,50.28857083782126,House,Florida,District 15,rep
House,2022-11-09T02:18:16Z,16361,0.08385795489273272,197.14864617077197,15.705519898687253,177.02121255691745,217.2760797846265,House,Florida,District 16,rep
Senate,2022-11-09T02:18:16Z,16361,0.1910641158853371,47.75924454495446,1.937007122616479,45.27687003449427,50.24161905541465,House,Florida,District 16,rep
House,2022-11-09T02:18:22Z,16297,0.08210100018408296,197.06878566607352,15.668752716411154,176.98847109222558,217.14910023992147,House,Florida,District 17,rep
Senate,2022-11-09T02:18:22Z,16297,0.18917592194882493,47.74976989629993,1.9313125564728855,45.27469326599616,50.2248465266037,House,Florida,District 17,rep
House,2022-11-09T02:18:27Z,16287,0.08184441579173574,197.05716215386505,15.663200755813202,176.98396270381326,217.13036160391684,House,Florida,District 18,rep
Senate,2022-11-09T02:18:27Z,16287,0.18892368146374408,47.748326886473876,1.9303764986980654,45.274449862476864,50.22220391047089,House,Florida,District 18,rep
House,2022-11-09T02:18:32Z,16276,0.08153108871958713,197.0419021872696,15.65582084828798,176.97816046926036,217.10564390527887,House,Florida,District 19,rep
Senate,2022-11-09T02:18:32Z,16276,0.18837552224133694,47.746067829933644,1.928961076613937,45.27400474232445,50.21813091754284,House,Florida,District 19,rep
House,2022-11-09T02:18:55Z,16275,0.08153609831029186,197.04350230414747,15.654970851108724,176.980849901354,217.10615470694094,House,Florida,District 20,dem
Senate,2022-11-09T02:18:55Z,16275,0.18838709677419355,47.74611367127496,1.9290114749145428,45.27398599564473,50.218241346905195,House,Florida,District 20,dem
House,2022-11-09T02:19:01Z,16012,0.07681738695978016,196.77997751686235,15.561009498120011,176.83774143309225,216.72221360063244,House,Florida,District 21,rep
Senate,2022-11-09T02:19:01Z,16012,0.18292530602048462,47.71746190357232,1.916204050886645,45.26174760225564,50.173176204889,House,Florida,District 21,rep
House,2022-11-09T02:19:06Z,12689,0.093939632752778,199.63322562849712,14.274066622298541,181.3402732020025,217.92617805499174,House,Florida,District 22,dem
Senate,2022-11-09T02:19:06Z,12689,0.21514697769721805,47.986602569154385,1.8719178626777233,45.58764330166885,50.38556183663992,House,Florida,District 22,dem
House,2022-11-09T02:19:10Z,12689,0.093939632752778,199.63322562849712,14.274066622298541,181.3402732020025,217.92617805499174,House,Florida,District 24,dem
Senate,2022-11-09T02:19:10Z,12689,0.21514697769721805,47.986602569154385,1.8719178626777233,45.58764330166885,50.38556183663992,House,Florida,District 24,dem
House,2022-11-09T02:19:15Z,11446,0.10318015027083698,200.96994583260528,13.608338041517005,183.53015891103902,218.40973275417153,House,Florida,District 25,dem
Senate,2022-11-09T02:19:15Z,11446,0.2308229949327276,48.11113052594793,1.8480656405300289,45.742739111097485,50.47952194079837,House,Florida,District 25,dem
House,2022-11-09T02:19:20Z,11376,0.10126582278481013,200.88080168776372,13.578089548534045,183.47977976973513,218.2818236057923,House,Florida,District 26,rep
Senate,2022-11-09T02:19:20Z,11376,0.22881504922644164,48.10126582278481,1.8436786393035915,45.73849657622415,50.46403506934547,House,Florida,District 26,rep
House,2022-11-09T02:19:24Z,10424,0.09142363775901766,200.29460859554874,13.503135531920913,182.98964411485457,217.5995730762429,House,Florida,District 28,rep
Senate,2022-11-09T02:19:24Z,10424,0.21958940905602456,48.045663852647735,1.8351484246749994,45.69382651599878,50.39750118929669,House,Florida,District 28,rep
House,2022-11-09T02:19:29Z,10424,0.09142363775901766,200.29460859554874,13.503135531920913,182.98964411485457,217.5995730762429,House,Delaware,District 1,dem
Senate,2022-11-09T02:19:29Z,10424,0.21958940905602456,48.045663852647735,1.8351484246749994,45.69382651599878,50.39750118929669,House,Delaware,District 1,dem
House,2022-11-09T02:20:41Z,39961,0,194.34583719126147,4.846183936786584,188.13520258015552,200.5564718023674,House,Illinois,District 1,dem
Senate,2022-11-09T02:20:41Z,39961,0.0024023422837266334,46.0436425514877,1.2789381797502015,44.404617324994064,47.68266777798134,House,Illinois,District 1,dem
