model_date,race,sim,winner,n
2022-07-05,House,1,dem,166
2022-07-05,House,2,dem,187
2022-07-05,House,3,dem,188
2022-07-05,House,4,dem,219
2022-07-05,House,5,dem,134
2022-07-05,House,6,dem,191
2022-07-05,House,7,dem,173
2022-07-05,House,8,dem,207
2022-07-05,House,9,dem,168
2022-07-05,House,10,dem,185
2022-07-05,House,11,dem,161
2022-07-05,House,12,dem,162
2022-07-05,House,13,dem,141
2022-07-05,House,14,dem,145
2022-07-05,House,15,dem,152
2022-07-05,House,16,dem,173
2022-07-05,House,17,dem,185
2022-07-05,House,18,dem,155
2022-07-05,House,19,dem,130
2022-07-05,House,20,dem,178
2022-07-05,House,21,dem,199
2022-07-05,House,22,dem,176
2022-07-05,House,23,dem,140
2022-07-05,House,24,dem,203
2022-07-05,House,25,dem,146
2022-07-05,House,26,dem,170
2022-07-05,House,27,dem,184
2022-07-05,House,28,dem,173
2022-07-05,House,29,dem,162
2022-07-05,House,30,dem,206
2022-07-05,House,31,dem,166
2022-07-05,House,32,dem,166
2022-07-05,House,33,dem,184
2022-07-05,House,34,dem,170
2022-07-05,House,35,dem,157
2022-07-05,House,36,dem,182
2022-07-05,House,37,dem,160
2022-07-05,House,38,dem,185
2022-07-05,House,39,dem,158
2022-07-05,House,40,dem,155
2022-07-05,House,41,dem,221
2022-07-05,House,42,dem,204
2022-07-05,House,43,dem,191
2022-07-05,House,44,dem,163
2022-07-05,House,45,dem,159
2022-07-05,House,46,dem,189
2022-07-05,House,47,dem,180
2022-07-05,House,48,dem,165
2022-07-05,House,49,dem,221
2022-07-05,House,50,dem,96
2022-07-05,House,51,dem,201
2022-07-05,House,52,dem,172
2022-07-05,House,53,dem,180
2022-07-05,House,54,dem,170
2022-07-05,House,55,dem,171
2022-07-05,House,56,dem,155
2022-07-05,House,57,dem,207
2022-07-05,House,58,dem,156
2022-07-05,House,59,dem,149
2022-07-05,House,60,dem,169
2022-07-05,House,61,dem,185
2022-07-05,House,62,dem,188
2022-07-05,House,63,dem,138
2022-07-05,House,64,dem,199
2022-07-05,House,65,dem,205
2022-07-05,House,66,dem,165
2022-07-05,House,67,dem,171
2022-07-05,House,68,dem,193
2022-07-05,House,69,dem,209
2022-07-05,House,70,dem,150
2022-07-05,House,71,dem,142
2022-07-05,House,72,dem,159
2022-07-05,House,73,dem,191
2022-07-05,House,74,dem,171
2022-07-05,House,75,dem,133
